Energy, geothermal, converted;('natural resource', 'in ground');megajoule
ethylene glycol production;RoW;kilogram;ethylene glycol
Hexane;('air', 'urban air close to ground');kilogram
Wheat grain cultivation, drying and storage {RER} | wheat grain production Europe | Alloc Rec, U;RER;megajoule;Wheat grain cultivation, drying and storage {RER} | wheat grain production Europe | Alloc Rec, U
Cadmium;('air', 'non-urban air or from high stacks');kilogram
woodchips from forestry residues;RER;megajoule;woodchips from forestry residues
Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114;('air', 'non-urban air or from high stacks');kilogram
market for sulfur dioxide, liquid;RER;kilogram;sulfur dioxide, liquid
market for petrol, low-sulfur;Europe without Switzerland;kilogram;petrol, low-sulfur
router, internet;CH;unit;router, internet
Toluene;('air', 'low population density, long-term');kilogram
Nitrogen oxides;('air', 'non-urban air or from high stacks');kilogram
Occupation, construction site;('natural resource', 'land');square meter-year
PAH, polycyclic aromatic hydrocarbons;('air', 'urban air close to ground');kilogram
Gravel, in ground;('natural resource', 'in ground');kilogram
electricity production, deep geothermal;DE;kilowatt hour;electricity, high voltage
motor scooter production;RER;unit;motor scooter, 50 cubic cm engine
Barium;('water', 'surface water');kilogram
Crude vegetable oil | oil mill: extraction of vegetable oil from rapeseed | Alloc Rec, U;RER;megajoule;Crude vegetable oil | oil mill: extraction of vegetable oil from rapeseed | Alloc Rec, U
Methane, dichloro-, HCC-30;('water', 'surface water');kilogram
market for potassium sulfate;RER;kilogram;potassium sulfate
Waste Cooking Oil;RER;megajoule;Waste Cooking Oil
Transformation, to annual crop, non-irrigated, intensive;('natural resource', 'land');square meter
cast iron production;RoW;kilogram;cast iron
Methane, non-fossil;('air', 'urban air close to ground');kilogram
welding, arc, aluminium;RER;meter;welding, arc, aluminium
market for cable, ribbon cable, 20-pin, with plugs;GLO;kilogram;cable, ribbon cable, 20-pin, with plugs
Energy, potential (in hydropower reservoir), converted;('natural resource', 'in water');megajoule
market for aluminium, wrought alloy;GLO;kilogram;aluminium, wrought alloy
aluminium ingot, primary, to aluminium, wrought alloy market;GLO;kilogram;aluminium, wrought alloy
hot water tank, carbon dioxide capture process;RER;unit;hot water tank, carbon dioxide capture process
Water, river;('natural resource', 'in water');cubic meter
Battery packaging;GLO;kilogram;Battery packaging
road maintenance;CH;meter-year;road maintenance
market for sulfuric acid;RER;kilogram;sulfuric acid
control panel, carbon dioxide capture process;RER;unit;control panel, carbon dioxide capture process
Potassium, ion;('water', 'ground-, long-term');kilogram
Iron, ion;('water',);kilogram
steel production, electric, low-alloyed;EUR;kilogram;steel, low-alloyed
Battery cell, NMC-622;GLO;kilogram;Battery cell
wire drawing, steel;RER;kilogram;wire drawing, steel
Carbon dioxide, to soil or biomass stock;('soil',);kilogram
Selenium;('air', 'low population density, long-term');kilogram
1-Pentene;('air', 'urban air close to ground');kilogram
market for ethylene carbonate;GLO;kilogram;ethylene carbonate
market for waste rubber, unspecified;CH;kilogram;waste rubber, unspecified
gasoline production, synthetic, from methanol, hydrogen from electrolysis, CO2 from DAC, energy allocation, at fuelling station;RER;kilogram;gasoline, synthetic, vehicle grade
Positive electrode paste, NMC-622;GLO;kilogram;Positive electrode paste
Lithium, ion;('water',);kilogram
Carbon monoxide, fossil;('air', 'non-urban air or from high stacks');kilogram
Methyl ethyl ketone;('air', 'urban air close to ground');kilogram
Battery cell, NMC-111;GLO;kilogram;Battery cell
Fluoride;('water', 'surface water');kilogram
Sulfate;('water',);kilogram
market for municipal solid waste;CH;kilogram;municipal solid waste
IBIS;GLO;kilogram;IBIS
market for soda ash, light, crystalline, heptahydrate;GLO;kilogram;soda ash, light, crystalline, heptahydrate
Hexane;('air', 'low population density, long-term');kilogram
Arsenic, ion;('water', 'surface water');kilogram
Zinc;('air', 'non-urban air or from high stacks');kilogram
Benzene;('air', 'non-urban air or from high stacks');kilogram
market for aluminium, cast alloy;GLO;kilogram;aluminium, cast alloy
market for petrol, low-sulfur;CH;kilogram;petrol, low-sulfur
market for used Li-ion battery;GLO;kilogram;used Li-ion battery
Chromium;('air', 'low population density, long-term');kilogram
road construction;CH;meter-year;road
transport, freight, lorry, fleet average, 26t;EUR;ton kilometer;transport, freight, lorry, fleet average
market for transport, freight, sea, tanker for liquid goods other than petroleum and liquefied natural gas;GLO;ton kilometer;transport, freight, sea, tanker for liquid goods other than petroleum and liquefied natural gas
market for transport, freight, sea, tanker for petroleum;GLO;ton kilometer;transport, freight, sea, tanker for petroleum
Particulates, < 2.5 um;('air', 'low population density, long-term');kilogram
market for casting, brass;GLO;kilogram;casting, brass
Transformation, from forest, unspecified;('natural resource', 'land');square meter
Manganese;('water', 'surface water');kilogram
Ethanol from sugarbeet;RER;kilogram;Ethanol from sugarbeet
market for water, deionised;Europe without Switzerland;kilogram;water, deionised
noise, octave 6, day time, rural;('octave 6', 'day time', 'rural');joule
Electrolyte, LTO;JP;kilogram;Electrolyte, LTO
reinforcing steel production;Europe without Austria;kilogram;reinforcing steel
Sand, unspecified, in ground;('natural resource', 'in ground');kilogram
Battery BoP;GLO;kilogram;Battery BoP
Tab Copper;GLO;kilogram;Tab Copper
Oil Palm Tree Cultivation {RER} | Fresh Fruit Bunches (FFBs) production | Alloc Rec, U;RER;megajoule;Oil Palm Tree Cultivation {RER} | Fresh Fruit Bunches (FFBs) production | Alloc Rec, U
Battery cell, LFP;GLO;kilogram;Battery cell
Ni1/3Co1/3Mn1/3(OH)2;GLO;kilogram;Ni1/3Co1/3Mn1/3(OH)2
Benzaldehyde;('air', 'low population density, long-term');kilogram
Magnesium;('water', 'surface water');kilogram
market for nylon 6-6, glass-filled;RoW;kilogram;nylon 6-6, glass-filled
market for tap water;RoW;kilogram;tap water
noise, octave 1, day time, suburban;('octave 1', 'day time', 'suburban');joule
market group for heat, district or industrial, other than natural gas;RER;megajoule;heat, district or industrial, other than natural gas
noise, octave 8, day time, suburban;('octave 8', 'day time', 'suburban');joule
treatment of drilling waste, landfarming;CH;kilogram;drilling waste
End-busbar aluminum;GLO;kilogram;End-busbar aluminum
noise, octave 2, day time, rural;('octave 2', 'day time', 'rural');joule
Biodiesel from cooking oil;RER;kilogram;Biodiesel from cooking oil
Ethane;('air', 'low population density, long-term');kilogram
Calcite, in ground;('natural resource', 'in ground');kilogram
Cadmium;('air', 'urban air close to ground');kilogram
Pentane;('air', 'low population density, long-term');kilogram
Water, turbine use, unspecified natural origin;('natural resource', 'in water');cubic meter
Nitrogen oxides;('air', 'urban air close to ground');kilogram
Gas, natural, in ground;('natural resource', 'in ground');cubic meter
noise, octave 1, day time, rural;('octave 1', 'day time', 'rural');joule
PEM electrolyzer, ACDC Converter;GLO;unit;PEM electrolyzer, ACDC Converter
wiring and tubing, carbon dioxide capture process;RER;unit;wiring and tubing, carbon dioxide capture process
market group for diesel, low-sulfur;RER;kilogram;diesel, low-sulfur
Multilayer pouch;GLO;kilogram;Multilayer pouch
market for silicon, electronics grade;GLO;kilogram;silicon, electronics grade
aluminium production, primary, ingot;IAI Area, EU27 & EFTA;kilogram;aluminium, primary, ingot
Acetaldehyde;('air', 'non-urban air or from high stacks');kilogram
aluminium hydroxide production;CN;kilogram;aluminium hydroxide
polyethylene production, low density, granulate;RoW;kilogram;polyethylene, low density, granulate
market for steel, low-alloyed;World;kilogram;steel, low-alloyed
Energy, gross calorific value, in biomass;('natural resource', 'biotic');megajoule
Acrolein;('air', 'low population density, long-term');kilogram
electronics production, for control units;RER;kilogram;electronics, for control units
PAH, polycyclic aromatic hydrocarbons;('air', 'low population density, long-term');kilogram
PEM electrolyzer, Balance of Plant;GLO;unit;PEM electrolyzer, Balance of Plant
gas motor production, 206kW;RER;unit;gas motor, 206kW
gasoline production, synthetic, from methanol, hydrogen from electrolysis, CO2 from DAC, economic allocation, at fuelling station;RER;kilogram;gasoline, synthetic, vehicle grade
market for extrusion, plastic film;GLO;kilogram;extrusion, plastic film
Copper;('air', 'non-urban air or from high stacks');kilogram
noise, octave 5, day time, urban;('octave 5', 'day time', 'urban');joule
Butane;('air', 'non-urban air or from high stacks');kilogram
market group for heat, district or industrial, natural gas;RER;megajoule;heat, district or industrial, natural gas
transport, freight, lorry, fleet average, 40t;EUR;ton kilometer;transport, freight, lorry, fleet average
Aluminium;('water', 'surface water');kilogram
charging station, 500W;GLO;unit;charging station, 500W
transport, freight, lorry, fleet average, 26t;World;ton kilometer;transport, freight, lorry, fleet average
Cathode current collector, NCA;JP;kilogram;Cathode current collector, NCA
market for acrylonitrile-butadiene-styrene copolymer;GLO;kilogram;acrylonitrile-butadiene-styrene copolymer
Occupation, forest, intensive;('natural resource', 'land');square meter-year
electricity production, at power plant/natural gas, post, pipeline 200km, storage 1000m;RER;kilowatt hour;electricity, high voltage
LTO electrode material (Li4Ti5O12);GLO;kilogram;LTO electrode material (Li4Ti5O12)
Carbon monoxide, fossil;('air',);kilogram
market for water, completely softened;RER;kilogram;water, completely softened
Glider lightweighting;GLO;kilogram;Glider lightweighting
Negative current collector Cu;GLO;kilogram;Negative current collector Cu
electric bicycle production, without battery and motor;RER;unit;electric bicycle, without battery and motor
Occupation, mineral extraction site;('natural resource', 'land');square meter-year
Carbon monoxide, fossil;('air', 'urban air close to ground');kilogram
polyethylene production, high density, granulate;RER;kilogram;polyethylene, high density, granulate
diesel, burned in building machine;GLO;megajoule;diesel, burned in building machine
gravel and sand quarry operation;CH;kilogram;sand
lubricating oil production;RoW;kilogram;lubricating oil
noise, octave 1, day time, urban;('octave 1', 'day time', 'urban');joule
market for converter, for electric passenger car;GLO;kilogram;converter, for electric passenger car
hydrogen peroxide production, product in 50% solution state;RER;kilogram;hydrogen peroxide, without water, in 50% solution state
Zinc;('air',);kilogram
lignite mine operation;RER;kilogram;lignite
market for urea;RER;kilogram;urea
Calcium, ion;('water', 'ground-, long-term');kilogram
Cadmium;('air', 'low population density, long-term');kilogram
Methyl ethyl ketone;('air', 'low population density, long-term');kilogram
Benzene;('air', 'urban air close to ground');kilogram
powder coating, aluminium sheet;RER;square meter;powder coat, aluminium sheet
Pipe fitting;GLO;kilogram;Pipe fitting
Dinitrogen monoxide;('air',);kilogram
market for metal working, average for aluminium product manufacturing;GLO;kilogram;metal working, average for aluminium product manufacturing
Strap retention;GLO;kilogram;Strap retention
Heptane;('air',);kilogram
Module fasteners;GLO;kilogram;Module fasteners
Propane;('air', 'low population density, long-term');kilogram
Ammonia;('air', 'non-urban air or from high stacks');kilogram
Arsenic;('air', 'low population density, long-term');kilogram
Negative electrode paste;GLO;kilogram;Negative electrode paste
Chromium VI;('air', 'non-urban air or from high stacks');kilogram
Acetaldehyde;('air', 'urban air close to ground');kilogram
Biodiesel, from rapeseed oil, at fuelling station;RER;kilogram;biodiesel, vehicle grade
Formaldehyde;('air', 'low population density, long-term');kilogram
Energy, kinetic (in wind), converted;('natural resource', 'in air');megajoule
transformer and rectifier unit, for electrolyzer;GLO;unit;transformer and rectifier unit, for electrolyzer
market for plastic processing factory;GLO;unit;plastic processing factory
market for titanium dioxide;RER;kilogram;titanium dioxide
gasoline production, from methanol, hydrogen from electrolysis, CO2 from DAC, energy allocation;RER;kilogram;gasoline, synthetic
Copper;('air', 'urban air close to ground');kilogram
Electrolyte;GLO;kilogram;Electrolyte
Sulfate;('water', 'ground-');kilogram
noise, octave 3, day time, suburban;('octave 3', 'day time', 'suburban');joule
m-Xylene;('air',);kilogram
Energy, gross calorific value, in biomass, primary forest;('natural resource', 'biotic');megajoule
market for reinforcing steel;GLO;kilogram;reinforcing steel
heat exchanger, carbon dioxide capture process;RER;unit;heat exchanger, carbon dioxide capture process
Mercury;('air', 'non-urban air or from high stacks');kilogram
AOX, Adsorbable Organic Halogen as Cl;('water', 'surface water');kilogram
transport, freight, lorry, fleet average, 40t;World;ton kilometer;transport, freight, lorry, fleet average
Sulfur hexafluoride;('air',);kilogram
lithium hydroxide production;GLO;kilogram;lithium hydroxide
market for polyvinylchloride, suspension polymerised;GLO;kilogram;polyvinylchloride, suspension polymerised
market for waste plastic, industrial electronics;RoW;kilogram;waste plastic, industrial electronics
noise, octave 5, day time, suburban;('octave 5', 'day time', 'suburban');joule
noise, octave 5, day time, rural;('octave 5', 'day time', 'rural');joule
cooling unit, carbon dioxide capture process;RER;unit;cooling unit, carbon dioxide capture process
market for sodium methoxide;GLO;kilogram;sodium methoxide
Acetone;('air', 'non-urban air or from high stacks');kilogram
methanol distillation, hydrogen from electrolysis, CO2 from DAC;RER;kilogram;methanol, purified
market for carbon monoxide;RER;kilogram;carbon monoxide
market for sulfur hexafluoride, liquid;RER;kilogram;sulfur hexafluoride, liquid
Phosphorus;('water', 'surface water');kilogram
Potassium, ion;('water', 'surface water');kilogram
market for cyclohexane;GLO;kilogram;cyclohexane
market for aluminium alloy, AlLi;GLO;kilogram;aluminium alloy, AlLi
Shale, in ground;('natural resource', 'in ground');kilogram
Water, cooling, unspecified natural origin;('natural resource', 'in water');cubic meter
Particulates, > 10 um;('air', 'non-urban air or from high stacks');kilogram
transport, freight, sea, container ship;GLO;ton kilometer;transport, freight, sea, container ship
treatment of inert waste, inert material landfill;CH;kilogram;inert waste, for final disposal
noise, octave 4, day time, rural;('octave 4', 'day time', 'rural');joule
Acetaldehyde;('air',);kilogram
market for aluminium scrap, new;RER;kilogram;aluminium scrap, new
market for water, decarbonised;CH;kilogram;water, decarbonised
market for steel, chromium steel 18/8, hot rolled;GLO;kilogram;steel, chromium steel 18/8, hot rolled
ethanol without biogas;RER;megajoule;ethanol without biogas
market for ethylene glycol;GLO;kilogram;ethylene glycol
Zinc;('air', 'urban air close to ground');kilogram
sheet rolling, steel;RoW;kilogram;sheet rolling, steel
market group for electricity, medium voltage;World;kilowatt hour;electricity, medium voltage
market for sugar beet seed, for sowing;GLO;kilogram;sugar beet seed, for sowing
market for styrene butadiene rubber (SBR);RER;kilogram;styrene butadiene rubber (SBR)
market for waste plastic, mixture;CH;kilogram;waste plastic, mixture
market for electric powertrain, for electric scooter;GLO;kilogram;powertrain, for electric scooter
market for air compressor, screw-type compressor, 300kW;GLO;unit;air compressor, screw-type compressor, 300kW
petrol blending for two-stroke engines;CH;kilogram;petrol, two-stroke blend
market for copper oxide;GLO;kilogram;copper oxide
maintenance, electric bicycle, without battery;CH;unit;maintenance, electric bicycle, without battery
market for gypsum fibreboard;GLO;kilogram;gypsum fibreboard
Anode;GLO;kilogram;Anode
Ammonia;('air', 'urban air close to ground');kilogram
cement production, Portland;EUR;kilogram;cement, Portland
market for glider, for electric scooter;GLO;kilogram;glider, for electric scooter
Butane;('air', 'urban air close to ground');kilogram
transmission network construction, electricity, medium voltage;CH;kilometer;transmission network, electricity, medium voltage
Carbon dioxide, non-fossil;('air', 'urban air close to ground');kilogram
Biodiesel, from palm oil, at fuelling station;RER;kilogram;biodiesel, vehicle grade
drawing of pipe, steel;RER;kilogram;drawing of pipe, steel
Heat, waste;('air',);megajoule
Benzaldehyde;('air',);kilogram
bicycle production;RER;unit;bicycle
pump production, 40W;CH;unit;pump, 40W
market for quicklime, milled, packed;RER;kilogram;quicklime, milled, packed
market for butyl acrylate;RoW;kilogram;butyl acrylate
market for water, deionised;RoW;kilogram;water, deionised
TOC, Total Organic Carbon;('water', 'surface water');kilogram
Mercury;('air', 'urban air close to ground');kilogram
steel production, converter, low-alloyed;EUR;kilogram;steel, low-alloyed
Ethene;('air',);kilogram
market for waste rubber, unspecified;RoW;kilogram;waste rubber, unspecified
Nickel;('air',);kilogram
market for power distribution unit, for electric passenger car;GLO;kilogram;power distribution unit, for electric passenger car
Nickel;('air', 'non-urban air or from high stacks');kilogram
treatment of spent anion exchange resin from potable water production, municipal incineration;RoW;kilogram;spent anion exchange resin from potable water production
tin production;RoW;kilogram;tin
treatment of road wear emissions, passenger car;RER;kilogram;road wear emissions, passenger car
chromium steel turning, average, conventional;RER;kilogram;chromium steel removed by turning, average, conventional
Styrene;('air',);kilogram
noise, octave 8, day time, urban;('octave 8', 'day time', 'urban');joule
Cyclohexane;('air',);kilogram
Radon-222;('air', 'non-urban air or from high stacks');kilo Becquerel
market for methanol;GLO;kilogram;methanol
Transformation, to heterogeneous, agricultural;('natural resource', 'land');square meter
pumps, carbon dioxide capture process;RER;unit;pumps, carbon dioxide capture process
Methane, fossil;('air',);kilogram
nickel mine operation and benefication to nickel concentrate, 7% Ni;CN;kilogram;nickel concentrate, 7% Ni
Battery cell, NCA;GLO;kilogram;Battery cell
Methane, fossil;('air', 'urban air close to ground');kilogram
Benzene;('air', 'low population density, long-term');kilogram
pipeline, supercritical CO2/km;RER;kilometer;pipeline, supercritical CO2/km
Coal, hard, unspecified, in ground;('natural resource', 'in ground');kilogram
market for heat, district or industrial, other than natural gas;Europe without Switzerland;megajoule;heat, district or industrial, other than natural gas
transport, freight train, diesel, with particle filter;CH;ton kilometer;transport, freight train
treatment of wastewater, average, capacity 1E9l/year;CH;cubic meter;wastewater, average
Iron, ion;('water', 'ground-, long-term');kilogram
Chromium VI;('air', 'urban air close to ground');kilogram
Heat, waste;('water',);megajoule
market for polyurethane, flexible foam;RER;kilogram;polyurethane, flexible foam
glass fibre reinforced plastic production, polyester resin, hand lay-up;RER;kilogram;glass fibre reinforced plastic, polyester resin, hand lay-up
market for manganese sulfate;GLO;kilogram;manganese sulfate
Chloride;('water', 'ground-, long-term');kilogram
market for compost;GLO;kilogram;compost
noise, octave 7, day time, urban;('octave 7', 'day time', 'urban');joule
Biodiesel from rapeseed oil;RER;kilogram;Biodiesel from rapeseed oil
market for sheet rolling, aluminium;GLO;kilogram;sheet rolling, aluminium
o-Xylene;('air', 'non-urban air or from high stacks');kilogram
market for anodising, aluminium sheet;GLO;square meter;anodising, aluminium sheet
market for inverter, for electric passenger car;GLO;kilogram;inverter, for electric passenger car
market for dolomite;RER;kilogram;dolomite
Sodium, ion;('water', 'ground-, long-term');kilogram
NMVOC, non-methane volatile organic compounds, unspecified origin;('air', 'low population density, long-term');kilogram
Butane;('air', 'low population density, long-term');kilogram
Zinc, ion;('water', 'surface water');kilogram
Iron, in ground;('natural resource', 'in ground');kilogram
Occupation, annual crop, non-irrigated, intensive;('natural resource', 'land');square meter-year
adsorption and desorption unit, carbon dioxide capture process;RER;unit;adsorption and desorption unit, carbon dioxide capture process
Chromium VI;('air', 'low population density, long-term');kilogram
electricity production, at BIGCC power plant 450MW, pre, pipeline 200km, storage 1000m;RER;kilowatt hour;electricity, high voltage
market group for tap water;RER;kilogram;tap water
market for wastewater, average;CH;cubic meter;wastewater, average
market for electric motor, vehicle;GLO;kilogram;electric motor, vehicle
noise, octave 6, day time, suburban;('octave 6', 'day time', 'suburban');joule
treatment of waste mineral oil, hazardous waste incineration;RoW;kilogram;waste mineral oil
Phosphate;('water',);kilogram
metal coating facility construction;RoW;unit;metal coating facility
PEM electrolyzer, Stack;GLO;unit;PEM electrolyzer, Stack
market for concrete, normal;RoW;cubic meter;concrete, normal
Acetone;('air', 'urban air close to ground');kilogram
synthetic rubber production;RER;kilogram;synthetic rubber
Mercury;('air', 'low population density, long-term');kilogram
methanol synthesis, hydrogen from electrolysis, CO2 from DAC;RER;kilogram;methanol, unpurified
heat production, natural gas, at industrial furnace >100kW;RoW;megajoule;heat, district or industrial, natural gas
Outer frame;GLO;kilogram;Outer frame
treatment of brake wear emissions, passenger car;RER;kilogram;brake wear emissions, passenger car
Ethene;('air', 'urban air close to ground');kilogram
Dinitrogen monoxide;('air', 'non-urban air or from high stacks');kilogram
Nickel;('air', 'urban air close to ground');kilogram
Chromium, ion;('water', 'surface water');kilogram
market for nylon 6;RoW;kilogram;nylon 6
Cobalt sulfate;GLO;kilogram;Cobalt sulfate
Styrene;('air', 'urban air close to ground');kilogram
ethylene glycol production;RER;kilogram;ethylene glycol
Boron;('water', 'surface water');kilogram
heat production, hardwood chips from forest, at furnace 1000kW, state-of-the-art 2014;CH;megajoule;heat, district or industrial, other than natural gas
